campaign_id,channel,spend_clp,impressions,clicks,conversions,revenue_clp
1,LinkedIn,127794,45685,1047,19,5953156
2,Referral,130458,89497,3529,369,163260729
3,Referral,535188,81064,2166,212,29999484
4,Referral,247383,47143,1357,91,13871949
5,Organic,158529,111295,4547,232,114725624
6,Referral,579057,89689,993,40,13980440
7,Referral,599525,73517,2132,113,30319821
8,LinkedIn,478625,106510,1903,148,78999736
9,LinkedIn,119113,48213,379,32,8607168
10,LinkedIn,207677,48694,357,30,9102180
11,Referral,460997,21901,621,70,19761700
12,Organic,394432,111585,1030,91,46167030
13,Paid Search,493973,71648,1349,71,15230139
14,Paid Search,408332,105421,2523,97,18635931
15,Organic,130913,43770,1690,43,22538880
16,Paid Search,403123,119870,4245,122,38736098
17,Paid Search,220128,28703,1093,104,56593784
18,Referral,508933,10726,223,19,4646146
19,Paid Search,348768,103617,3594,223,89194425
20,LinkedIn,374500,110987,4013,441,97778520
21,Referral,511999,65513,2328,225,86325075
22,Organic,219930,112071,1365,107,26864811
23,Organic,553935,119572,2298,259,127681302
24,Paid Search,348910,15993,564,24,9339456
25,LinkedIn,508723,17021,728,27,9626040
26,Referral,77965,59381,367,24,5846760
27,LinkedIn,135569,54140,714,34,5846232
28,Paid Search,203143,23035,128,14,5147828
29,LinkedIn,541897,63799,1864,205,26642415
30,Referral,276130,114440,1159,131,57538868
31,Paid Search,166587,106734,1687,78,11312652
32,Referral,490218,88748,3243,204,36336684
33,LinkedIn,67233,87831,2207,89,17379475
34,Paid Search,500089,5205,152,6,2030406
35,Organic,139772,73614,3236,71,28102226
36,LinkedIn,459420,119469,2780,227,71667759
37,Organic,67031,51805,1882,96,48410112
38,Paid Search,398671,22486,130,9,4918608
39,Organic,537192,96146,2270,77,14683977
40,Organic,529911,9847,157,3,673737
41,Referral,380926,45642,1147,136,55039744
42,Organic,315618,9799,341,11,3378727
43,Referral,398048,40811,371,19,6264794
44,LinkedIn,455426,49438,2171,145,55222525
45,Referral,594500,39959,1472,134,21624920
46,LinkedIn,239222,76496,1227,31,9049644
47,Referral,371384,63447,1821,108,52016580
48,Referral,418623,63606,364,38,11583996
49,Referral,337892,88816,3923,449,71545007
50,Paid Search,430959,72251,2662,229,31218654
51,LinkedIn,509457,9561,87,3,1374753
52,Referral,429742,55181,2368,43,8619135
53,LinkedIn,438984,53760,1193,27,5189157
54,Organic,467368,46207,1415,58,10409782
55,LinkedIn,245085,70410,1776,196,35621040
56,Referral,322933,97279,2169,259,69858516
57,Referral,259902,21074,201,4,842084
58,LinkedIn,142055,111235,3554,368,105820608
59,Paid Search,118093,77089,2021,219,44364582
60,Paid Search,429052,71683,945,111,59414970
61,LinkedIn,298235,108595,2633,139,58385282
62,Organic,540110,110337,4888,139,22962939
63,Referral,374314,57187,2572,232,91782680
64,Organic,479322,112916,3113,87,24900531
65,Paid Search,521832,66057,2106,107,56611774
66,Paid Search,185300,61704,1518,161,29800456
67,LinkedIn,368897,26581,282,31,7384541
68,LinkedIn,594103,42230,1633,67,30347784
69,Paid Search,181250,86922,1426,101,38732793
70,LinkedIn,211684,27439,850,77,33669559
71,LinkedIn,93195,113165,4460,104,47455824
72,Referral,271048,105526,2897,231,31387818
73,Referral,353742,89136,3852,253,137097664
74,Referral,361882,64446,450,9,3154311
75,LinkedIn,557774,65875,814,64,18168512
76,Organic,412147,57260,536,28,11605048
77,Paid Search,384617,36685,848,36,8999280
78,Referral,151514,11632,184,10,4426350
79,LinkedIn,310330,118417,4854,487,205939638
80,Referral,249055,105023,1106,132,48146340
81,Referral,373528,70191,347,39,15014922
82,Referral,302422,33199,926,18,4815198
83,Paid Search,543446,42453,1103,114,39436020
84,Referral,327319,100355,1906,109,15665480
85,Organic,103642,79747,2155,114,30929340
86,Organic,455116,71093,1597,116,51823928
87,LinkedIn,184913,17672,356,35,10422230
88,Organic,201275,31090,892,50,7055250
89,Referral,90804,22961,763,75,29420925
90,LinkedIn,206175,84463,3430,101,44583824
91,LinkedIn,220395,56505,2520,233,64513972
92,LinkedIn,581958,113565,2827,187,77630058
93,Referral,547960,111921,524,26,4614064
94,Organic,372623,109432,4470,476,214158588
95,Paid Search,547643,39803,1737,168,88524576
96,Referral,103849,81483,1931,135,67244445
97,Organic,204954,112696,3596,65,31672810
98,Paid Search,250051,7482,165,9,3028590
99,Organic,480311,70774,2531,282,142632780
100,Referral,194789,72984,912,44,20556668
101,LinkedIn,445129,46124,1993,126,50338512
102,LinkedIn,421496,93587,3336,302,138098258
