customer_id,segment,mrr_clp,tenure_months,health_score,churned,support_tickets_90d
1,Mid-Market,400000,16,66,0,5
2,Enterprise,90000,37,50,0,2
3,Mid-Market,650000,36,28,0,3
4,Mid-Market,250000,19,33,0,10
5,Enterprise,250000,9,63,0,2
6,Enterprise,650000,28,73,0,7
7,Enterprise,400000,26,93,0,6
8,Enterprise,400000,3,71,0,9
9,Enterprise,650000,6,38,0,10
10,Enterprise,180000,11,30,0,10
11,Mid-Market,650000,26,67,0,1
12,Enterprise,90000,7,58,0,8
13,Mid-Market,400000,38,98,0,6
14,SMB,250000,44,89,0,7
15,SMB,90000,19,78,0,1
16,Mid-Market,650000,10,69,0,3
17,Mid-Market,400000,31,69,0,7
18,Enterprise,180000,5,63,0,1
19,SMB,90000,22,38,0,3
20,Enterprise,400000,12,95,0,6
21,SMB,250000,15,76,0,10
22,Enterprise,650000,28,75,1,3
23,Enterprise,250000,38,79,0,3
24,Enterprise,120000,18,33,0,2
25,Mid-Market,180000,21,50,0,10
26,Enterprise,250000,34,65,0,6
27,Mid-Market,400000,8,69,0,9
28,Enterprise,120000,44,63,0,1
29,Mid-Market,650000,9,65,0,1
30,Mid-Market,120000,24,43,0,9
31,Mid-Market,120000,37,74,0,10
32,Mid-Market,400000,45,47,0,4
33,Enterprise,120000,12,65,0,0
34,Mid-Market,180000,1,87,0,8
35,Mid-Market,400000,42,88,0,6
36,Enterprise,650000,29,87,0,0
37,Enterprise,120000,19,29,0,4
38,Mid-Market,120000,30,97,0,8
39,Enterprise,400000,8,98,0,5
40,Mid-Market,400000,3,81,0,1
41,SMB,650000,42,56,0,7
42,SMB,180000,23,36,0,3
43,Enterprise,120000,48,69,0,10
44,SMB,250000,11,42,0,0
45,Enterprise,400000,23,93,0,2
46,Mid-Market,180000,46,62,0,8
47,Mid-Market,650000,7,42,0,0
48,SMB,180000,42,41,0,3
49,Enterprise,120000,46,66,0,6
50,Enterprise,250000,10,98,0,6
51,SMB,250000,29,34,0,6
52,Mid-Market,400000,48,60,0,7
53,Enterprise,250000,21,25,0,1
54,Enterprise,650000,30,70,0,6
55,Mid-Market,120000,28,52,0,4
56,Mid-Market,180000,36,98,0,5
57,Mid-Market,650000,4,30,0,0
58,Mid-Market,90000,11,81,0,3
59,Mid-Market,650000,9,63,0,1
60,Enterprise,650000,24,57,0,10
61,Enterprise,120000,4,75,0,3
62,SMB,250000,42,36,0,3
63,Enterprise,250000,5,41,0,10
64,SMB,250000,1,26,0,6
65,Mid-Market,650000,9,86,0,1
