order_id,date,channel,quantity,revenue_clp,cogs_clp,returned
1,2026-04-20,Organic,1,89990,46670,0
2,2026-02-10,Referral,2,44982,20259,0
3,2026-04-06,Referral,3,107973,64553,0
4,2026-04-07,Email,4,143964,59051,0
5,2026-01-09,Email,3,170971,100865,1
6,2026-03-18,Paid,1,89990,53845,0
7,2026-07-30,Email,2,79980,43419,0
8,2026-03-09,Email,2,29980,13943,0
9,2026-04-13,Paid,2,49980,27627,0
10,2026-06-26,Organic,1,37990,14938,0
11,2026-07-19,Organic,3,38224,21102,0
12,2026-07-17,Paid,3,113971,51757,0
13,2026-05-19,Paid,1,59990,25567,1
14,2026-07-07,Referral,3,229474,92982,1
15,2026-03-16,Referral,4,323964,154265,0
16,2026-01-13,Referral,2,49980,18524,0
17,2026-02-03,Paid,3,42721,20311,0
18,2026-02-20,Paid,4,359960,169888,0
19,2026-05-28,Organic,2,29980,16314,0
20,2026-03-30,Organic,1,56990,25150,0
21,2026-04-24,Paid,3,74970,37789,0
22,2026-07-13,Organic,4,59960,23979,0
23,2026-08-02,Email,1,14990,8802,0
24,2026-05-01,Organic,1,33991,18731,0
25,2026-05-14,Email,3,63724,30874,0
26,2026-06-21,Organic,4,305966,182990,0
27,2026-01-16,Email,4,305966,147383,0
28,2026-01-03,Organic,2,179980,65381,0
29,2026-01-28,Organic,4,135966,76551,0
30,2026-07-01,Organic,3,179970,107072,0
31,2026-05-09,Referral,3,161973,78215,0
32,2026-05-06,Referral,1,14990,8702,0
33,2026-03-19,Paid,2,29980,15621,0
34,2026-07-28,Organic,3,38224,15840,0
35,2026-02-05,Organic,3,74970,32645,0
36,2026-02-28,Referral,4,305966,153935,0
37,2026-06-04,Email,2,179980,82181,0
38,2026-05-19,Paid,4,359960,144592,0
39,2026-02-04,Referral,2,67983,35778,0
40,2026-07-04,Organic,2,179980,77278,0
41,2026-04-16,Referral,2,79980,42530,0
42,2026-07-09,Email,3,152974,89251,0
43,2026-06-06,Email,2,49980,19136,1
44,2026-01-21,Referral,2,179980,73382,1
45,2026-02-17,Referral,2,161982,75676,0
46,2026-04-15,Organic,4,239960,93811,0
47,2026-07-13,Paid,3,179970,96390,0
48,2026-03-25,Referral,1,23740,13455,0
49,2026-07-31,Referral,2,113981,62011,0
50,2026-05-18,Organic,3,161973,94719,0
51,2026-03-04,Referral,1,56990,31729,1
52,2026-01-13,Paid,1,85490,40952,0
53,2026-03-15,Referral,3,170971,97641,0
54,2026-05-13,Paid,2,119980,60383,1
55,2026-07-19,Paid,4,239960,127337,0
56,2026-06-01,Paid,4,239960,111034,0
57,2026-07-02,Paid,4,59960,25843,0
58,2026-01-22,Referral,1,14990,7893,0
59,2026-03-27,Paid,2,107982,48068,0
60,2026-03-20,Email,2,49980,27103,1
61,2026-02-21,Organic,4,135966,53730,0
62,2026-07-26,Organic,3,42721,20267,0
63,2026-04-15,Referral,4,99960,49701,0
64,2026-03-13,Paid,1,80991,28479,0
65,2026-02-07,Organic,1,24990,9090,0
66,2026-02-15,Paid,3,119970,43460,0
67,2026-07-21,Paid,3,229474,119986,0
68,2026-03-18,Email,4,359960,209809,0
69,2026-01-17,Email,3,179970,97113,0
70,2026-05-15,Referral,4,99960,52344,0
71,2026-06-11,Organic,2,44982,16398,0
72,2026-03-23,Email,4,305966,129055,0
73,2026-06-11,Referral,3,67473,33106,0
74,2026-02-19,Organic,4,89964,36721,0
75,2026-08-06,Paid,1,14240,7210,0
76,2026-06-13,Paid,4,239960,104010,0
77,2026-03-20,Email,1,21241,8929,0
78,2026-07-05,Organic,3,44970,23450,0
79,2026-05-03,Referral,2,49980,27911,0
80,2026-05-18,Email,1,23740,9231,0
81,2026-05-25,Email,4,203966,74244,0
82,2026-07-23,Email,1,22491,11726,0
83,2026-04-07,Paid,1,24990,13999,0
84,2026-03-20,Email,4,89964,34115,0
85,2026-04-06,Referral,1,37990,14120,0
86,2026-07-20,Organic,3,67473,28715,0
87,2026-05-09,Paid,2,28481,13571,0
88,2026-07-18,Email,2,75981,40506,0
89,2026-07-05,Organic,2,26982,14008,0
90,2026-03-21,Organic,4,203966,115486,0
91,2026-07-16,Email,1,37990,21741,0
92,2026-02-21,Paid,1,89990,45869,0
93,2026-01-31,Email,3,107973,46405,0
94,2026-05-24,Organic,2,49980,18923,0
95,2026-06-30,Email,2,179980,87711,0
96,2026-05-19,Referral,2,49980,21383,0
97,2026-01-28,Referral,1,24990,11687,0
98,2026-06-01,Referral,1,14240,6379,0
99,2026-06-21,Organic,3,119970,66506,0
100,2026-06-28,Referral,4,359960,134347,0
101,2026-04-30,Referral,1,59990,31261,0
102,2026-04-04,Referral,2,49980,28252,0
103,2026-05-02,Organic,2,79980,37056,1
104,2026-03-31,Paid,3,170971,95990,0
105,2026-06-16,Organic,1,50991,28003,0
106,2026-06-08,Paid,3,256471,115464,0
107,2026-06-27,Referral,2,113981,41775,0
108,2026-06-19,Organic,4,359960,174987,0
109,2026-01-25,Referral,4,53964,26929,0
110,2026-07-28,Referral,2,75981,27915,0
111,2026-07-29,Paid,3,152974,78787,0
112,2026-04-10,Referral,1,21241,8226,0
113,2026-07-23,Email,2,42483,24187,0
114,2026-05-11,Referral,4,159960,79289,0
115,2026-01-14,Organic,2,79980,35375,0
116,2026-06-29,Referral,3,44970,25471,0
117,2026-06-19,Paid,3,170971,76148,0
118,2026-04-03,Referral,4,99960,48865,0
119,2026-06-15,Organic,2,67983,25927,1
120,2026-01-22,Paid,2,101983,46828,0
121,2026-02-16,Referral,4,203966,102208,0
122,2026-04-19,Organic,4,341962,152576,0
123,2026-05-20,Email,4,84966,40395,0
124,2026-05-29,Referral,1,13491,6351,0
125,2026-07-12,Email,1,21241,11317,0
126,2026-03-04,Referral,4,359960,173082,0
127,2026-03-29,Organic,1,80991,34674,1
128,2026-03-26,Referral,4,215964,124506,0
129,2026-06-02,Email,3,119970,47013,0
130,2026-01-14,Email,3,38224,17899,0
131,2026-08-06,Email,1,37990,14080,0
132,2026-01-04,Organic,3,67473,28355,0
133,2026-07-26,Paid,2,152983,59324,0
134,2026-01-09,Email,3,71221,28146,0
135,2026-05-07,Referral,1,22491,13123,0
136,2026-02-23,Email,4,84966,39088,0
137,2026-05-02,Email,1,39990,14521,0
138,2026-05-02,Email,4,359960,160164,0
139,2026-04-25,Referral,2,170981,60350,0
140,2026-05-17,Email,3,229474,135152,0
141,2026-03-10,Organic,4,305966,172745,0
142,2026-03-03,Paid,3,256471,119330,0
143,2026-08-01,Organic,3,74970,36503,0
144,2026-03-31,Paid,1,59990,28874,0
145,2026-01-15,Paid,3,119970,43010,0
146,2026-06-18,Paid,1,14990,8456,0
147,2026-01-20,Referral,1,24990,10586,0
148,2026-03-24,Email,3,152974,88089,0
149,2026-03-27,Organic,2,29980,16317,0
150,2026-02-21,Referral,3,119970,55203,0
151,2026-02-25,Organic,2,119980,46308,0
152,2026-07-06,Email,4,159960,57380,0
153,2026-01-10,Referral,4,56962,22056,0
154,2026-01-01,Referral,3,63724,27557,0
155,2026-07-21,Organic,4,227962,127889,0
156,2026-05-04,Organic,2,28481,16762,0
157,2026-06-15,Organic,3,101974,43411,1
158,2026-07-16,Email,3,269970,99919,0
159,2026-02-18,Email,2,44982,16185,0
160,2026-06-11,Referral,4,50966,26614,0
161,2026-06-01,Paid,2,49980,19905,0
162,2026-05-08,Referral,4,239960,131542,0
163,2026-01-11,Referral,1,14990,5456,0
164,2026-06-23,Paid,1,21241,10977,0
165,2026-01-05,Referral,2,29980,16005,0
166,2026-06-11,Organic,1,21241,10879,1
167,2026-01-17,Organic,3,42721,21480,0
168,2026-07-25,Paid,1,53991,29683,0
169,2026-06-25,Paid,4,135966,70647,0
170,2026-01-31,Email,3,74970,37355,0
171,2026-04-23,Paid,2,119980,62878,0
172,2026-04-07,Paid,1,24990,13688,0
173,2026-01-23,Email,1,59990,21091,0
174,2026-03-11,Referral,4,203966,77858,0
175,2026-02-16,Referral,4,99960,50243,1
176,2026-02-19,Organic,1,39990,18183,0
177,2026-05-10,Paid,1,89990,50905,0
178,2026-02-08,Referral,4,99960,36312,0
179,2026-06-15,Email,4,99960,51732,1
180,2026-07-14,Referral,3,71221,29403,0
