experiment_id,control_n,control_conversions,variant_n,variant_conversions,area
1,1822,64,219,44,ad
2,1946,53,1648,113,email
3,1183,154,1755,237,email
4,829,132,879,49,email
5,314,54,1313,146,landing
6,243,12,1889,62,ad
7,410,63,1247,82,landing
8,659,39,249,37,onboarding
9,501,93,923,83,email
10,2000,206,1601,67,onboarding
11,547,38,425,23,ad
12,931,167,356,52,landing
13,938,21,373,29,email
14,1077,95,1286,102,onboarding
15,507,97,1566,164,ad
16,913,36,1992,148,onboarding
17,1555,145,955,192,landing
18,1815,86,204,19,ad
19,502,67,999,194,onboarding
20,1868,67,337,64,ad
21,496,51,385,26,email
22,1771,190,988,91,onboarding
23,1068,187,1185,259,onboarding
24,1432,180,1825,80,email
25,984,150,1057,137,onboarding
26,1290,220,1298,127,onboarding
27,371,63,1389,279,email
28,1639,130,378,56,landing
29,616,12,1942,195,onboarding
30,473,17,425,54,ad
31,1938,81,1939,160,onboarding
32,495,80,1910,225,email
33,631,38,1895,38,email
34,440,28,1624,203,landing
35,1625,200,1069,23,landing
36,1557,47,1391,254,email
37,261,33,500,28,landing
38,701,13,357,63,email
39,1767,250,573,105,email
40,1732,163,1280,250,onboarding
41,1679,237,890,175,landing
42,787,49,427,17,landing
43,1437,98,1738,267,email
44,222,37,1011,184,onboarding
45,1334,142,1656,302,ad
46,1652,226,665,50,ad
47,388,58,1268,74,email
48,1020,24,1467,122,onboarding
49,576,105,1884,296,landing
50,1872,249,1618,254,ad
