lead_id,account,segment,channel,score,status,days_in_stage
1,Lead-001,Mid-Market,Organic,55,Contacted,9
2,Lead-002,Mid-Market,Outbound,89,New,28
3,Lead-003,SMB,Organic,47,Contacted,39
4,Lead-004,SMB,Paid Search,89,Meeting,29
5,Lead-005,Mid-Market,Organic,40,Opportunity,22
6,Lead-006,SMB,Paid Search,63,New,25
7,Lead-007,SMB,LinkedIn,97,Contacted,3
8,Lead-008,Mid-Market,Event,35,Lost,25
9,Lead-009,SMB,LinkedIn,100,Opportunity,24
10,Lead-010,Mid-Market,Outbound,28,New,15
11,Lead-011,Mid-Market,Organic,49,Lost,25
12,Lead-012,SMB,Outbound,66,New,23
13,Lead-013,SMB,LinkedIn,29,Opportunity,11
14,Lead-014,Mid-Market,Paid Search,40,Meeting,18
15,Lead-015,Enterprise,Outbound,91,Contacted,21
16,Lead-016,Mid-Market,Organic,49,Won,21
17,Lead-017,SMB,Organic,47,Lost,37
18,Lead-018,Enterprise,LinkedIn,47,Opportunity,26
19,Lead-019,Enterprise,Outbound,78,New,9
20,Lead-020,SMB,Event,88,Contacted,38
21,Lead-021,SMB,Event,71,Contacted,9
22,Lead-022,Mid-Market,Organic,26,Lost,10
23,Lead-023,Mid-Market,Outbound,74,Opportunity,25
24,Lead-024,SMB,Referral,87,Contacted,36
25,Lead-025,Enterprise,Organic,34,Opportunity,35
26,Lead-026,Mid-Market,Outbound,63,New,28
27,Lead-027,SMB,Organic,53,Lost,12
28,Lead-028,Mid-Market,Organic,100,Contacted,41
29,Lead-029,Mid-Market,Paid Search,39,Contacted,11
30,Lead-030,Mid-Market,Event,20,Opportunity,32
31,Lead-031,SMB,LinkedIn,59,Contacted,16
32,Lead-032,Enterprise,Organic,30,Opportunity,5
33,Lead-033,Enterprise,Event,36,New,31
34,Lead-034,Enterprise,Paid Search,53,Meeting,39
35,Lead-035,SMB,Paid Search,89,Opportunity,45
36,Lead-036,SMB,LinkedIn,71,Lost,42
37,Lead-037,SMB,Event,77,New,15
38,Lead-038,SMB,Organic,95,Meeting,38
39,Lead-039,SMB,Organic,100,New,5
40,Lead-040,Enterprise,LinkedIn,29,Meeting,18
41,Lead-041,Mid-Market,Paid Search,89,New,37
42,Lead-042,Mid-Market,Paid Search,80,Won,13
43,Lead-043,SMB,Outbound,75,Contacted,27
44,Lead-044,SMB,Outbound,26,Opportunity,42
45,Lead-045,SMB,Referral,63,Won,7
46,Lead-046,SMB,Paid Search,88,Meeting,28
47,Lead-047,SMB,Referral,51,Lost,5
48,Lead-048,SMB,Event,32,New,35
49,Lead-049,Mid-Market,Organic,50,New,32
50,Lead-050,SMB,Referral,27,New,1
51,Lead-051,Enterprise,LinkedIn,78,Contacted,45
52,Lead-052,Enterprise,Event,82,New,19
53,Lead-053,SMB,Organic,94,Opportunity,4
54,Lead-054,Mid-Market,Organic,26,Opportunity,33
55,Lead-055,Enterprise,Event,40,New,33
56,Lead-056,SMB,Paid Search,28,Opportunity,44
57,Lead-057,Enterprise,Referral,35,Lost,37
58,Lead-058,SMB,Event,25,Opportunity,27
59,Lead-059,Mid-Market,Event,86,Contacted,17
60,Lead-060,SMB,Outbound,60,Contacted,26
61,Lead-061,SMB,Outbound,58,Meeting,5
62,Lead-062,SMB,Event,92,Lost,5
63,Lead-063,Mid-Market,Event,53,New,23
64,Lead-064,Enterprise,Paid Search,67,Contacted,29
65,Lead-065,Mid-Market,Outbound,58,Opportunity,42
66,Lead-066,Mid-Market,Outbound,90,Contacted,43
67,Lead-067,SMB,Paid Search,53,New,7
68,Lead-068,Mid-Market,Paid Search,54,Contacted,14
69,Lead-069,Mid-Market,Paid Search,53,Meeting,17
70,Lead-070,Enterprise,Organic,31,Opportunity,18
71,Lead-071,SMB,LinkedIn,36,Opportunity,17
72,Lead-072,SMB,Referral,90,Opportunity,36
73,Lead-073,SMB,Organic,39,Meeting,24
74,Lead-074,Mid-Market,Paid Search,75,New,20
75,Lead-075,SMB,Organic,65,Contacted,16
76,Lead-076,Mid-Market,LinkedIn,91,Lost,27
77,Lead-077,Enterprise,Outbound,39,Lost,16
78,Lead-078,Enterprise,Paid Search,72,New,22
79,Lead-079,Mid-Market,Referral,51,Contacted,45
80,Lead-080,SMB,Organic,80,Contacted,30
81,Lead-081,SMB,Paid Search,48,New,13
82,Lead-082,SMB,LinkedIn,28,Lost,18
83,Lead-083,SMB,Event,71,Opportunity,35
84,Lead-084,SMB,Organic,34,Lost,17
85,Lead-085,SMB,LinkedIn,24,New,28
86,Lead-086,SMB,LinkedIn,75,Opportunity,33
87,Lead-087,SMB,Event,44,Contacted,28
88,Lead-088,SMB,Event,45,Contacted,5
89,Lead-089,Enterprise,LinkedIn,99,Contacted,8
90,Lead-090,Mid-Market,LinkedIn,84,Contacted,27
91,Lead-091,SMB,Outbound,57,Meeting,13
92,Lead-092,SMB,Referral,42,Opportunity,20
93,Lead-093,SMB,Organic,58,Contacted,28
94,Lead-094,Mid-Market,Event,61,Meeting,29
95,Lead-095,Mid-Market,Event,80,Won,11
96,Lead-096,Mid-Market,LinkedIn,85,Opportunity,40
97,Lead-097,SMB,Paid Search,59,Contacted,13
98,Lead-098,SMB,Organic,51,Lost,40
99,Lead-099,Mid-Market,Organic,78,Meeting,41
100,Lead-100,Mid-Market,Outbound,69,Meeting,16
101,Lead-101,SMB,Outbound,20,Lost,7
102,Lead-102,Mid-Market,Paid Search,42,Won,45
103,Lead-103,Mid-Market,Organic,91,Contacted,8
104,Lead-104,SMB,Referral,87,Lost,39
105,Lead-105,SMB,Referral,98,Won,33
106,Lead-106,SMB,Event,77,Lost,31
107,Lead-107,SMB,Paid Search,55,Won,34
108,Lead-108,SMB,Paid Search,55,Meeting,19
109,Lead-109,SMB,LinkedIn,60,Lost,6
110,Lead-110,SMB,Paid Search,69,Opportunity,14
111,Lead-111,SMB,Referral,62,Meeting,27
112,Lead-112,SMB,Referral,69,Lost,38
113,Lead-113,Enterprise,Organic,93,Meeting,1
114,Lead-114,Enterprise,LinkedIn,69,Won,27
115,Lead-115,Mid-Market,Outbound,89,Won,15
116,Lead-116,SMB,LinkedIn,75,Meeting,25
117,Lead-117,SMB,Outbound,71,Opportunity,30
118,Lead-118,Enterprise,Event,88,New,26
119,Lead-119,Mid-Market,Outbound,23,New,28
120,Lead-120,SMB,Referral,43,New,25
121,Lead-121,SMB,Referral,61,Contacted,25
122,Lead-122,SMB,Referral,52,Won,31
123,Lead-123,SMB,Event,26,Lost,23
124,Lead-124,SMB,Organic,25,Opportunity,16
125,Lead-125,SMB,Organic,99,New,9
126,Lead-126,SMB,Organic,92,Lost,30
127,Lead-127,Mid-Market,LinkedIn,41,Opportunity,8
128,Lead-128,Mid-Market,Paid Search,59,New,2
129,Lead-129,Enterprise,Event,68,Meeting,13
130,Lead-130,SMB,Outbound,100,Contacted,45
131,Lead-131,Mid-Market,Outbound,96,Won,37
132,Lead-132,Mid-Market,LinkedIn,88,Meeting,24
133,Lead-133,SMB,Outbound,63,New,27
134,Lead-134,Mid-Market,Organic,75,Lost,41
135,Lead-135,Enterprise,Referral,39,Meeting,34
136,Lead-136,Enterprise,LinkedIn,98,Won,35
137,Lead-137,Mid-Market,Referral,75,Won,38
138,Lead-138,SMB,Paid Search,31,Contacted,29
139,Lead-139,SMB,Referral,92,Opportunity,25
140,Lead-140,SMB,Referral,61,Contacted,14
141,Lead-141,SMB,LinkedIn,63,Contacted,39
142,Lead-142,Mid-Market,LinkedIn,91,New,13
143,Lead-143,SMB,Outbound,72,Meeting,16
144,Lead-144,Mid-Market,Outbound,82,Meeting,2
145,Lead-145,SMB,Paid Search,71,Opportunity,20
146,Lead-146,Mid-Market,LinkedIn,80,Meeting,23
147,Lead-147,SMB,Outbound,90,Contacted,45
148,Lead-148,SMB,LinkedIn,52,Contacted,13
149,Lead-149,SMB,Outbound,88,Lost,45
150,Lead-150,SMB,Paid Search,81,Contacted,38
151,Lead-151,Enterprise,Event,96,Contacted,7
152,Lead-152,Mid-Market,LinkedIn,49,Contacted,20
153,Lead-153,SMB,Event,36,Contacted,4
154,Lead-154,Mid-Market,Outbound,36,Opportunity,32
155,Lead-155,SMB,Organic,93,Contacted,31
156,Lead-156,SMB,Paid Search,26,Contacted,31
157,Lead-157,SMB,Organic,71,Meeting,37
158,Lead-158,Mid-Market,Organic,39,New,37
159,Lead-159,Enterprise,Organic,51,New,27
160,Lead-160,Mid-Market,Event,48,Won,25
161,Lead-161,SMB,Referral,58,Lost,28
162,Lead-162,SMB,Event,27,Opportunity,7
163,Lead-163,Enterprise,Paid Search,100,Contacted,43
164,Lead-164,SMB,Paid Search,42,Meeting,11
165,Lead-165,SMB,Referral,96,Meeting,3
166,Lead-166,SMB,Outbound,56,Opportunity,30
